Unnamed: 0,Unnamed: 1,Input,Change,Gain,Loss,Avg Gain,Avg Loss,HM,14-day HMA,D,E,F,G,H,I,J
,23,45.7137,-0.5383999999999958,0.0,0.5383999999999958,0.18946611859465198,0.14850835296802228,1.2757943563985856,56.05929871526324,-0.5383999999999958,0.0,0.5383999999999958,0.18005427452773,0.14457626985466784,1.2453930005852667,55.46436638310765
,24,46.4515,0.7378,0.7378,0.0,0.2286328244093197,0.1379006134703064,1.6579536425234997,62.37707144318042,0.7378,0.7378,0.0,0.21989325491860642,0.1342493934364773,1.6379459846323492,62.09171810849758
,25,45.7835,-0.6680000000000064,0.0,0.6680000000000064,0.2123019083800826,0.175764855365285,1.2078746228241368,54.70757308126129,-0.6680000000000064,0.0,0.6680000000000064,0.20418659385299168,0.17237443676244363,1.1845526383612768,54.224037341112485
,26,45.3548,-0.4286999999999992,0.0,0.4286999999999992,0.19713748635293382,0.19383165141062172,1.0170551863859885,50.4227744114564,-0.4286999999999992,0.0,0.4286999999999992,0.18960183714920656,0.19068340556512617,0.9943279363365984,49.85779511082263
,27,44.0288,-1.3260000000000005,0.0,1.3260000000000005,0.18305623732772425,0.2747008191670059,0.6663840242006493,39.989823145376604,-1.3260000000000005,0.0,1.3260000000000005,0.1760588487814061,0.27177744802476006,0.6478052173238686,39.31321557386145
,28,44.1783,0.1495000000000033,0.1495000000000033,0.0,0.18065936323288703,0.2550793320836483,0.7082477508355844,41.46048197570564,0.1495000000000033,0.1495000000000033,0.0,0.17416178815416306,0.2523647731658486,0.6901192506757183,40.83257736989891
,29,44.2181,0.03979999999999961,0.03979999999999961,0.0,0.17059798014482364,0.23685937979195915,0.7202500500282703,41.86891609254328,0.03979999999999961,0.03979999999999961,0.0,0.1645645175717228,0.23433871793971656,0.7022506524681802,41.254244869869844
,30,44.5672,0.34909999999999997,0.34909999999999997,0.0,0.18334812442019338,0.21994085266396207,0.8336246868167002,45.46321244528675,0.34909999999999997,0.34909999999999997,0.0,0.1777456234594569,0.21760023808687964,0.8168448022951598,44.959525506155885
,31,43.4205,-1.1467000000000027,0.0,1.1467000000000027,0.170251829818751,0.28613793461653636,0.5949991567769983,37.30404208985967,-1.1467000000000027,0.0,1.1467000000000027,0.16504950749806713,0.2839645067949598,0.5812328778724561,36.75820848441395
,32,42.6628,-0.7576999999999998,0.0,0.7576999999999998,0.15809098483169737,0.31982093928678373,0.49431092655861736,33.07952299438848,-0.7576999999999998,0.0,0.7576999999999998,0.15326025696249093,0.3178027563096055,0.48224961527137855,32.534979959032455
,33,43.1314,0.4686000000000021,0.4686000000000021,0.0,0.180270200200862,0.2969765864805849,0.6070182243563748,37.77295211443486,0.4686000000000021,0.4686000000000021,0.0,0.17578452432231315,0.29510255943034797,0.5956726524556049,37.33050457052799
